,n_estimators,learning_rate,test_score,train_score,max_depth,fit_time
429,25,0.08900000000000001,0.9056070311746918,0.9059483753027016,4,126.30640730857849
441,27,0.08900000000000001,0.9055706163431868,0.9058895390989059,4,132.67101354598998
435,26,0.08900000000000001,0.9054944918833238,0.9058083134614694,4,132.0486159324646
447,28,0.08900000000000001,0.9054272895312888,0.9057383825517484,4,136.8423270702362
439,27,0.08800000000000001,0.9053627806039428,0.9056992391938024,4,131.85960640907288
453,29,0.08900000000000001,0.9053454928802008,0.9056463906106929,4,147.71402702331542
423,24,0.08900000000000001,0.9053354712989494,0.9057159660283706,4,116.52760581970215
427,25,0.08800000000000001,0.9052935324993392,0.9056613309909108,4,127.15943646430969
431,25,0.09,0.9052585316157838,0.9056005090642676,4,130.15037636756898
443,27,0.09,0.905251777538576,0.9055776877932578,4,135.63675718307496
449,28,0.09,0.9052472778823012,0.905571094726816,4,136.49724245071408
461,30,0.09,0.9052447864323964,0.905566193475212,4,146.3475850105286
459,30,0.08900000000000001,0.9052425332711712,0.9055727023243636,4,148.64229621887208
425,24,0.09,0.9052015805592508,0.9055421952276526,4,119.537220287323
437,26,0.09,0.9051735369154941,0.9055073732690696,4,127.08191394805908
433,26,0.08800000000000001,0.9051656451206916,0.9055279936681409,4,136.53890171051026
457,30,0.08800000000000001,0.9050952295025264,0.9054310701056572,4,151.96998491287232
451,29,0.08800000000000001,0.9050789105738136,0.9054189686296864,4,141.42841172218326
445,28,0.08800000000000001,0.9050682546367682,0.9054401551199144,4,137.02434916496276
421,24,0.08800000000000001,0.90503225624244,0.9054282352900606,4,120.01769285202026
455,29,0.09,0.9050067216609682,0.9053441230025522,4,151.93121747970582
417,23,0.08900000000000001,0.904908648992772,0.9052844011197976,4,111.98422250747679
419,23,0.09,0.9049068252407174,0.9052680247966988,4,111.78313760757445
413,22,0.09,0.9048132045833626,0.9051778208494612,4,106.66274900436402
411,22,0.08900000000000001,0.904759349256996,0.9051375077178035,4,107.47417793273924
415,23,0.08800000000000001,0.9046721604053868,0.9050320296637382,4,111.78634891510008
407,21,0.09,0.904583674085068,0.9049275973783464,4,116.87070555686951
409,22,0.08800000000000001,0.9044627863699796,0.904840766094414,4,113.70306916236878
405,21,0.08900000000000001,0.9044565019507512,0.9048149092652124,4,121.42689971923828
403,21,0.08800000000000001,0.9042099173441024,0.9045525746684324,4,118.99096879959106
401,20,0.09,0.9038938524872018,0.9042469403842996,4,116.02355046272278
399,20,0.08900000000000001,0.9037169222090224,0.9040573895889222,4,101.9454592704773
397,20,0.08800000000000001,0.9037083308459416,0.904057332739684,4,107.73148608207704
2,19,0.85,0.8916937850879808,0.8920890306846397,4,87.80903115272524
11,19,0.88,0.8912520882763939,0.8916061140488433,4,87.28084254264832
35,20,0.86,0.8912166781538569,0.8915067204847066,4,89.46229376792908
17,19,0.9,0.8905275845040432,0.8909603195093121,4,86.65313625335693
8,19,0.87,0.8904172089644684,0.8908135069296712,4,86.7428050994873
5,19,0.86,0.8904131546680135,0.8907092302491242,4,86.80275912284851
152,19,0.95,0.8903834993305134,0.8907707135555649,4,88.4090437412262
32,20,0.85,0.8902556573201565,0.8907005974651107,4,90.16952581405641
