n_estimators,learning_rate,test_score,train_score,max_depth,fit_time,train_minus_test
27,0.09,0.889,0.889,4,55.145,0.0
28,0.09,0.889,0.889,4,58.07,0.0
29,0.09,0.889,0.889,4,53.172,0.0
26,0.09,0.889,0.889,4,70.444,0.0
25,0.09,0.889,0.889,4,54.589,0.0
28,0.088,0.889,0.889,4,56.059,0.0
29,0.088,0.889,0.889,4,58.918,0.0
29,0.089,0.889,0.889,4,55.098,0.0
28,0.089,0.889,0.889,4,60.526,0.0
27,0.089,0.889,0.889,4,68.171,0.0
27,0.088,0.889,0.889,4,64.577,0.0
26,0.088,0.889,0.889,4,53.208,0.0
25,0.089,0.889,0.889,4,50.634,0.0
26,0.089,0.889,0.889,4,57.312,0.0
25,0.088,0.889,0.889,4,62.019,0.0
26,0.089,0.88,0.881,3,41.355,0.0
25,0.089,0.88,0.881,3,48.624,0.001
28,0.089,0.88,0.881,3,43.975,0.0
29,0.088,0.88,0.881,3,45.408,0.0
29,0.09,0.88,0.881,3,42.972,0.0
27,0.089,0.88,0.881,3,51.631,0.0
29,0.089,0.88,0.881,3,51.888,0.0
26,0.088,0.88,0.881,3,44.337,0.001
28,0.088,0.88,0.881,3,44.322,0.001
27,0.088,0.88,0.881,3,54.339,0.001
25,0.088,0.88,0.881,3,52.699,0.001
28,0.09,0.88,0.88,3,48.61,0.0
25,0.09,0.88,0.88,3,39.506,0.001
26,0.09,0.88,0.88,3,73.787,0.001
27,0.09,0.88,0.88,3,60.843,0.0
