,n_estimators,learning_rate,max_depth,model_score
0,10,0.85,2,
1,10,0.86,2,
2,10,0.87,2,
3,10,0.88,2,
4,10,0.89,2,
5,10,0.9,2,
6,10,0.91,2,
7,10,0.92,2,
8,10,0.93,2,
9,10,0.94,2,
10,10,0.85,3,
11,10,0.86,3,
12,10,0.87,3,
13,10,0.88,3,
14,10,0.89,3,
15,10,0.9,3,
16,10,0.91,3,
17,10,0.92,3,
18,10,0.93,3,
19,10,0.94,3,
20,10,0.85,4,
21,10,0.86,4,
22,10,0.87,4,
23,10,0.88,4,
24,10,0.89,4,
25,10,0.9,4,
26,10,0.91,4,
27,10,0.92,4,
28,10,0.93,4,
29,10,0.94,4,
30,11,0.85,2,
31,11,0.86,2,
32,11,0.87,2,
33,11,0.88,2,
34,11,0.89,2,
35,11,0.9,2,
36,11,0.91,2,
37,11,0.92,2,
38,11,0.93,2,
39,11,0.94,2,
40,11,0.85,3,
41,11,0.86,3,
42,11,0.87,3,
43,11,0.88,3,
44,11,0.89,3,
45,11,0.9,3,
46,11,0.91,3,
47,11,0.92,3,
48,11,0.93,3,
49,11,0.94,3,
50,11,0.85,4,
51,11,0.86,4,
52,11,0.87,4,
53,11,0.88,4,
54,11,0.89,4,
55,11,0.9,4,
56,11,0.91,4,
57,11,0.92,4,
58,11,0.93,4,
59,11,0.94,4,
60,12,0.85,2,
61,12,0.86,2,
62,12,0.87,2,
63,12,0.88,2,
64,12,0.89,2,
65,12,0.9,2,
66,12,0.91,2,
67,12,0.92,2,
68,12,0.93,2,
69,12,0.94,2,
70,12,0.85,3,
71,12,0.86,3,
72,12,0.87,3,
73,12,0.88,3,
74,12,0.89,3,
75,12,0.9,3,
76,12,0.91,3,
77,12,0.92,3,
78,12,0.93,3,
79,12,0.94,3,
80,12,0.85,4,
81,12,0.86,4,
82,12,0.87,4,
83,12,0.88,4,
84,12,0.89,4,
85,12,0.9,4,
86,12,0.91,4,
87,12,0.92,4,
88,12,0.93,4,
89,12,0.94,4,
90,13,0.85,2,
91,13,0.86,2,
92,13,0.87,2,
93,13,0.88,2,
94,13,0.89,2,
95,13,0.9,2,
96,13,0.91,2,
97,13,0.92,2,
98,13,0.93,2,
99,13,0.94,2,
100,13,0.85,3,
101,13,0.86,3,
102,13,0.87,3,
103,13,0.88,3,
104,13,0.89,3,
105,13,0.9,3,
106,13,0.91,3,
107,13,0.92,3,
108,13,0.93,3,
109,13,0.94,3,
110,13,0.85,4,
111,13,0.86,4,
112,13,0.87,4,
113,13,0.88,4,
114,13,0.89,4,
115,13,0.9,4,
116,13,0.91,4,
117,13,0.92,4,
118,13,0.93,4,
119,13,0.94,4,
120,14,0.85,2,
121,14,0.86,2,
122,14,0.87,2,
123,14,0.88,2,
124,14,0.89,2,
125,14,0.9,2,
126,14,0.91,2,
127,14,0.92,2,
128,14,0.93,2,
129,14,0.94,2,
130,14,0.85,3,
131,14,0.86,3,
132,14,0.87,3,
133,14,0.88,3,
134,14,0.89,3,
135,14,0.9,3,
136,14,0.91,3,
137,14,0.92,3,
138,14,0.93,3,
139,14,0.94,3,
140,14,0.85,4,
141,14,0.86,4,
142,14,0.87,4,
143,14,0.88,4,
144,14,0.89,4,
145,14,0.9,4,
146,14,0.91,4,
147,14,0.92,4,
148,14,0.93,4,
149,14,0.94,4,
150,15,0.85,2,
151,15,0.86,2,
152,15,0.87,2,
153,15,0.88,2,
154,15,0.89,2,
155,15,0.9,2,
156,15,0.91,2,
157,15,0.92,2,
158,15,0.93,2,
159,15,0.94,2,
160,15,0.85,3,
161,15,0.86,3,
162,15,0.87,3,
163,15,0.88,3,
164,15,0.89,3,
165,15,0.9,3,
166,15,0.91,3,
167,15,0.92,3,
168,15,0.93,3,
169,15,0.94,3,
170,15,0.85,4,
171,15,0.86,4,
172,15,0.87,4,
173,15,0.88,4,
174,15,0.89,4,
175,15,0.9,4,
176,15,0.91,4,
177,15,0.92,4,
178,15,0.93,4,
179,15,0.94,4,
180,16,0.85,2,
181,16,0.86,2,
182,16,0.87,2,
183,16,0.88,2,
184,16,0.89,2,
185,16,0.9,2,
186,16,0.91,2,
187,16,0.92,2,
188,16,0.93,2,
189,16,0.94,2,
190,16,0.85,3,
191,16,0.86,3,
192,16,0.87,3,
193,16,0.88,3,
194,16,0.89,3,
195,16,0.9,3,
196,16,0.91,3,
197,16,0.92,3,
198,16,0.93,3,
199,16,0.94,3,
200,16,0.85,4,
201,16,0.86,4,
202,16,0.87,4,
203,16,0.88,4,
204,16,0.89,4,
205,16,0.9,4,
206,16,0.91,4,
207,16,0.92,4,
208,16,0.93,4,
209,16,0.94,4,
210,17,0.85,2,
211,17,0.86,2,
212,17,0.87,2,
213,17,0.88,2,
214,17,0.89,2,
215,17,0.9,2,
216,17,0.91,2,
217,17,0.92,2,
218,17,0.93,2,
219,17,0.94,2,
220,17,0.85,3,
221,17,0.86,3,
222,17,0.87,3,
223,17,0.88,3,
224,17,0.89,3,
225,17,0.9,3,
226,17,0.91,3,
227,17,0.92,3,
228,17,0.93,3,
229,17,0.94,3,
230,17,0.85,4,
231,17,0.86,4,
232,17,0.87,4,
233,17,0.88,4,
234,17,0.89,4,
235,17,0.9,4,
236,17,0.91,4,
237,17,0.92,4,
238,17,0.93,4,
239,17,0.94,4,
240,18,0.85,2,
241,18,0.86,2,
242,18,0.87,2,
243,18,0.88,2,
244,18,0.89,2,
245,18,0.9,2,
246,18,0.91,2,
247,18,0.92,2,
248,18,0.93,2,
249,18,0.94,2,
250,18,0.85,3,
251,18,0.86,3,
252,18,0.87,3,
253,18,0.88,3,
254,18,0.89,3,
255,18,0.9,3,
256,18,0.91,3,
257,18,0.92,3,
258,18,0.93,3,
259,18,0.94,3,
260,18,0.85,4,
261,18,0.86,4,
262,18,0.87,4,
263,18,0.88,4,
264,18,0.89,4,
265,18,0.9,4,
266,18,0.91,4,
267,18,0.92,4,
268,18,0.93,4,
269,18,0.94,4,
270,19,0.85,2,
271,19,0.86,2,
272,19,0.87,2,
273,19,0.88,2,
274,19,0.89,2,
275,19,0.9,2,
276,19,0.91,2,
277,19,0.92,2,
278,19,0.93,2,
279,19,0.94,2,
280,19,0.85,3,
281,19,0.86,3,
282,19,0.87,3,
283,19,0.88,3,
284,19,0.89,3,
285,19,0.9,3,
286,19,0.91,3,
287,19,0.92,3,
288,19,0.93,3,
289,19,0.94,3,
290,19,0.85,4,
291,19,0.86,4,
292,19,0.87,4,
293,19,0.88,4,
294,19,0.89,4,
295,19,0.9,4,
296,19,0.91,4,
297,19,0.92,4,
298,19,0.93,4,
299,19,0.94,4,
300,20,0.85,2,
301,20,0.86,2,
302,20,0.87,2,
303,20,0.88,2,
304,20,0.89,2,
305,20,0.9,2,
306,20,0.91,2,
307,20,0.92,2,
308,20,0.93,2,
309,20,0.94,2,
310,20,0.85,3,
311,20,0.86,3,
312,20,0.87,3,
313,20,0.88,3,
314,20,0.89,3,
315,20,0.9,3,
316,20,0.91,3,
317,20,0.92,3,
318,20,0.93,3,
319,20,0.94,3,
320,20,0.85,4,
321,20,0.86,4,
322,20,0.87,4,
323,20,0.88,4,
324,20,0.89,4,
325,20,0.9,4,
326,20,0.91,4,
327,20,0.92,4,
328,20,0.93,4,
329,20,0.94,4,
330,21,0.85,2,
331,21,0.86,2,
332,21,0.87,2,
333,21,0.88,2,
334,21,0.89,2,
335,21,0.9,2,
336,21,0.91,2,
337,21,0.92,2,
338,21,0.93,2,
339,21,0.94,2,
340,21,0.85,3,
341,21,0.86,3,
342,21,0.87,3,
343,21,0.88,3,
344,21,0.89,3,
345,21,0.9,3,
346,21,0.91,3,
347,21,0.92,3,
348,21,0.93,3,
349,21,0.94,3,
350,21,0.85,4,
351,21,0.86,4,
352,21,0.87,4,
353,21,0.88,4,
354,21,0.89,4,
355,21,0.9,4,
356,21,0.91,4,
357,21,0.92,4,
358,21,0.93,4,
359,21,0.94,4,
360,22,0.85,2,
361,22,0.86,2,
362,22,0.87,2,
363,22,0.88,2,
364,22,0.89,2,
365,22,0.9,2,
366,22,0.91,2,
367,22,0.92,2,
368,22,0.93,2,
369,22,0.94,2,
370,22,0.85,3,
371,22,0.86,3,
372,22,0.87,3,
373,22,0.88,3,
374,22,0.89,3,
375,22,0.9,3,
376,22,0.91,3,
377,22,0.92,3,
378,22,0.93,3,
379,22,0.94,3,
380,22,0.85,4,
381,22,0.86,4,
382,22,0.87,4,
383,22,0.88,4,
384,22,0.89,4,
385,22,0.9,4,
386,22,0.91,4,
387,22,0.92,4,
388,22,0.93,4,
389,22,0.94,4,
390,23,0.85,2,
391,23,0.86,2,
392,23,0.87,2,
393,23,0.88,2,
394,23,0.89,2,
395,23,0.9,2,
396,23,0.91,2,
397,23,0.92,2,
398,23,0.93,2,
399,23,0.94,2,
400,23,0.85,3,
401,23,0.86,3,
402,23,0.87,3,
403,23,0.88,3,
404,23,0.89,3,
405,23,0.9,3,
406,23,0.91,3,
407,23,0.92,3,
408,23,0.93,3,
409,23,0.94,3,
410,23,0.85,4,
411,23,0.86,4,
412,23,0.87,4,
413,23,0.88,4,
414,23,0.89,4,
415,23,0.9,4,
416,23,0.91,4,
417,23,0.92,4,
418,23,0.93,4,
419,23,0.94,4,
420,24,0.85,2,
421,24,0.86,2,
422,24,0.87,2,
423,24,0.88,2,
424,24,0.89,2,
425,24,0.9,2,
426,24,0.91,2,
427,24,0.92,2,
428,24,0.93,2,
429,24,0.94,2,
430,24,0.85,3,
431,24,0.86,3,
432,24,0.87,3,
433,24,0.88,3,
434,24,0.89,3,
435,24,0.9,3,
436,24,0.91,3,
437,24,0.92,3,
438,24,0.93,3,
439,24,0.94,3,
440,24,0.85,4,
441,24,0.86,4,
442,24,0.87,4,
443,24,0.88,4,
444,24,0.89,4,
445,24,0.9,4,
446,24,0.91,4,
447,24,0.92,4,
448,24,0.93,4,
449,24,0.94,4,
450,25,0.85,2,
451,25,0.86,2,
452,25,0.87,2,
453,25,0.88,2,
454,25,0.89,2,
455,25,0.9,2,
456,25,0.91,2,
457,25,0.92,2,
458,25,0.93,2,
459,25,0.94,2,
460,25,0.85,3,
461,25,0.86,3,
462,25,0.87,3,
463,25,0.88,3,
464,25,0.89,3,
465,25,0.9,3,
466,25,0.91,3,
467,25,0.92,3,
468,25,0.93,3,
469,25,0.94,3,
470,25,0.85,4,
471,25,0.86,4,
472,25,0.87,4,
473,25,0.88,4,
474,25,0.89,4,
475,25,0.9,4,
476,25,0.91,4,
477,25,0.92,4,
478,25,0.93,4,
479,25,0.94,4,
480,26,0.85,2,
481,26,0.86,2,
482,26,0.87,2,
483,26,0.88,2,
484,26,0.89,2,
485,26,0.9,2,
