,index,feature_1,feature_2,correlation
282,26,AIR_TIME,SCHEDULED_TIME,0.990776936487088
283,28,AIR_TIME,ELAPSED_TIME,0.990063987011862
285,30,AIR_TIME,DISTANCE,0.9856736565590898
259,32,ELAPSED_TIME,SCHEDULED_TIME,0.9852895738624259
305,34,DISTANCE,SCHEDULED_TIME,0.9843482186374891
262,36,ELAPSED_TIME,DISTANCE,0.9737438687792459
205,38,WHEELS_OFF,DEPARTURE_TIME,0.9720414066135502
407,40,ARRIVAL_TIME,WHEELS_ON,0.9675330964468648
105,42,SCHEDULED_DEPARTURE,DEPARTURE_TIME,0.9638677427645168
424,44,ARRIVAL_DELAY,DEPARTURE_DELAY,0.9445967056189636
204,46,WHEELS_OFF,SCHEDULED_DEPARTURE,0.9383197403500856
336,48,WHEELS_ON,SCHEDULED_ARRIVAL,0.8701053559929017
409,50,ARRIVAL_TIME,SCHEDULED_ARRIVAL,0.8616455652591488
215,52,WHEELS_OFF,SCHEDULED_ARRIVAL,0.7215446747970985
140,54,DEPARTURE_TIME,SCHEDULED_ARRIVAL,0.7096577546434429
373,56,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,0.7061638088017872
329,58,WHEELS_ON,WHEELS_OFF,0.6955999618382401
138,60,DEPARTURE_TIME,WHEELS_ON,0.6757370702081954
402,62,ARRIVAL_TIME,WHEELS_OFF,0.6673725034242477
113,64,SCHEDULED_DEPARTURE,WHEELS_ON,0.6561837293209379
399,66,ARRIVAL_TIME,DEPARTURE_TIME,0.6476326741763961
116,68,SCHEDULED_DEPARTURE,ARRIVAL_TIME,0.6289815362376988
524,70,AIRLINE_DELAY,DEPARTURE_DELAY,0.6211651262155413
535,72,AIRLINE_DELAY,ARRIVAL_DELAY,0.6098808734582954
547,74,LATE_AIRCRAFT_DELAY,DEPARTURE_DELAY,0.5572172997592713
558,76,LATE_AIRCRAFT_DELAY,ARRIVAL_DELAY,0.5242510694174901
195,78,TAXI_OUT,AIR_SYSTEM_DELAY,0.36219040020102816
440,80,ARRIVAL_DELAY,WEATHER_DELAY,0.2580483147424261
489,82,AIR_SYSTEM_DELAY,ARRIVAL_DELAY,0.248237956495668
486,84,AIR_SYSTEM_DELAY,TAXI_IN,0.2405309638798997
570,86,WEATHER_DELAY,DEPARTURE_DELAY,0.2366922640775342
425,88,ARRIVAL_DELAY,TAXI_OUT,0.22763520956641525
185,90,TAXI_OUT,ELAPSED_TIME,0.2057781388812275
546,92,LATE_AIRCRAFT_DELAY,DEPARTURE_TIME,0.1823878976378824
131,94,DEPARTURE_TIME,DEPARTURE_DELAY,0.17225644405463916
206,96,WHEELS_OFF,DEPARTURE_DELAY,0.16352508889121806
423,98,ARRIVAL_DELAY,DEPARTURE_TIME,0.16006789937627694
549,100,LATE_AIRCRAFT_DELAY,WHEELS_OFF,0.15664850366947825
217,102,WHEELS_OFF,ARRIVAL_DELAY,0.15640683997891988
264,104,ELAPSED_TIME,TAXI_IN,0.1558678318231611
268,106,ELAPSED_TIME,AIR_SYSTEM_DELAY,0.14954074120882846
123,108,SCHEDULED_DEPARTURE,LATE_AIRCRAFT_DELAY,0.1454031008085295
362,110,TAXI_IN,ARRIVAL_DELAY,0.11624918930651293
232,112,SCHEDULED_TIME,TAXI_OUT,0.11290838545039165
392,114,SCHEDULED_ARRIVAL,LATE_AIRCRAFT_DELAY,0.11132761901103723
106,116,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,0.11002970768117902
422,118,ARRIVAL_DELAY,SCHEDULED_DEPARTURE,0.09984973497297292
354,120,TAXI_IN,SCHEDULED_TIME,0.09873562915437464
375,122,SCHEDULED_ARRIVAL,DEPARTURE_DELAY,0.09784380650294296
170,124,DEPARTURE_DELAY,AIR_SYSTEM_DELAY,0.09758733427004834
386,126,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,0.0891767218400622
280,128,AIR_TIME,TAXI_OUT,0.0884586361618539
356,130,TAXI_IN,AIR_TIME,0.08215417077562634
357,132,TAXI_IN,DISTANCE,0.07484016629361466
303,134,DISTANCE,TAXI_OUT,0.07310269774105138
199,136,TAXI_OUT,WEATHER_DELAY,0.06491852015926554
157,138,DEPARTURE_DELAY,TAXI_OUT,0.0587189983158155
431,140,ARRIVAL_DELAY,WHEELS_ON,0.05842477280780231
327,142,WHEELS_ON,DEPARTURE_DELAY,0.058120417685200876
483,144,AIR_SYSTEM_DELAY,AIR_TIME,0.054923272622664235
178,146,TAXI_OUT,FLIGHT_NUMBER,0.04975972591069914
434,148,ARRIVAL_DELAY,ARRIVAL_TIME,0.04932363229109067
400,150,ARRIVAL_TIME,DEPARTURE_DELAY,0.04855037271863931
207,152,WHEELS_OFF,TAXI_OUT,0.03848415139862104
94,154,FLIGHT_NUMBER,CANCELLED,0.037496629351945206
247,156,SCHEDULED_TIME,AIRLINE_DELAY,0.03583502372140557
318,158,DISTANCE,AIRLINE_DELAY,0.0350917813274648
464,160,CANCELLED,DEPARTURE_DELAY,0.033889268679901184
328,162,WHEELS_ON,TAXI_OUT,0.033194516848420993
378,164,SCHEDULED_ARRIVAL,SCHEDULED_TIME,0.03177138268816957
256,166,ELAPSED_TIME,DEPARTURE_DELAY,0.031051291975662337
265,168,ELAPSED_TIME,SCHEDULED_ARRIVAL,0.030939358369032312
401,170,ARRIVAL_TIME,TAXI_OUT,0.030188828594499575
380,172,SCHEDULED_ARRIVAL,AIR_TIME,0.029384491518569863
481,174,AIR_SYSTEM_DELAY,SCHEDULED_TIME,0.02930830398249578
428,176,ARRIVAL_DELAY,ELAPSED_TIME,0.029192879333260206
159,178,DEPARTURE_DELAY,SCHEDULED_TIME,0.02815625375424131
381,180,SCHEDULED_ARRIVAL,DISTANCE,0.027276469640153258
263,182,ELAPSED_TIME,WHEELS_ON,0.025425579056998097
162,184,DEPARTURE_DELAY,DISTANCE,0.0245002972993872
190,186,TAXI_OUT,SCHEDULED_ARRIVAL,0.024317999124646373
161,188,DEPARTURE_DELAY,AIR_TIME,0.02375359976115572
447,190,DIVERTED,DEPARTURE_DELAY,0.02353100450326581
238,192,SCHEDULED_TIME,WHEELS_ON,0.023143624396071684
453,194,DIVERTED,TAXI_IN,0.02269410141033645
286,196,AIR_TIME,WHEELS_ON,0.02243964251452802
266,198,ELAPSED_TIME,ARRIVAL_TIME,0.022409927845645883
544,200,LATE_AIRCRAFT_DELAY,FLIGHT_NUMBER,0.02127151550393329
293,202,AIR_TIME,AIRLINE_DELAY,0.02119295756849109
403,204,ARRIVAL_TIME,SCHEDULED_TIME,0.020210408343953167
405,206,ARRIVAL_TIME,AIR_TIME,0.019163301874949305
333,208,WHEELS_ON,DISTANCE,0.018810511208648618
62,210,DAY_OF_WEEK,DISTANCE,0.017133546880321177
421,212,ARRIVAL_DELAY,FLIGHT_NUMBER,0.017131736403369437
227,214,SCHEDULED_TIME,DAY_OF_WEEK,0.015448237405652215
312,216,DISTANCE,ARRIVAL_TIME,0.014974379711023141
275,218,AIR_TIME,DAY_OF_WEEK,0.014930998600563085
77,220,FLIGHT_NUMBER,DAY_OF_WEEK,0.014229372456775812
316,222,DISTANCE,AIR_SYSTEM_DELAY,0.013982483216605971
132,224,DEPARTURE_TIME,TAXI_OUT,0.013576447803199276
450,226,DIVERTED,SCHEDULED_TIME,0.013077417666387115
164,228,DEPARTURE_DELAY,TAXI_IN,0.01237657441754259
520,230,AIRLINE_DELAY,DAY_OF_WEEK,0.012333005790737685
60,232,DAY_OF_WEEK,ELAPSED_TIME,0.012307206333864814
193,234,TAXI_OUT,DIVERTED,0.012172202023159424
518,236,AIRLINE_DELAY,MONTH,0.012121043470869014
451,238,DIVERTED,DISTANCE,0.011912149585026096
296,240,DISTANCE,MONTH,0.011379081225000474
9,242,MONTH,SCHEDULED_TIME,0.010710421177664223
462,244,CANCELLED,SCHEDULED_DEPARTURE,0.010433269923710712
574,246,WEATHER_DELAY,ELAPSED_TIME,0.009635214466175013
21,248,MONTH,SECURITY_DELAY,0.009606512149904206
48,250,DAY,LATE_AIRCRAFT_DELAY,0.009495972860016893
