n_estimators,max_depth,test_score,train_score,fit_time,train_minus_test
50,4,0.884,0.885,69.918,0.0
48,4,0.884,0.885,60.816,0.0
49,4,0.884,0.885,60.324,0.0
47,4,0.884,0.885,69.397,0.0
46,4,0.884,0.885,59.617,0.0
43,4,0.884,0.885,44.719,0.0
45,4,0.884,0.885,60.057,0.0
42,4,0.884,0.885,48.192,0.0
44,4,0.884,0.885,45.531,0.0
50,3,0.858,0.858,52.55,0.0
48,3,0.858,0.858,46.933,0.0
49,3,0.858,0.858,45.121,0.0
47,3,0.857,0.858,65.157,0.0
46,3,0.857,0.858,43.992,0.0
45,3,0.857,0.858,38.365,0.0
43,3,0.857,0.858,38.63,0.0
42,3,0.857,0.858,37.678,0.0
44,3,0.857,0.858,33.719,0.0
