index,level_0,level_1,correlation
0,MONTH,MONTH,1.0
1,MONTH,DAY,0.008845650802207729
2,MONTH,DAY_OF_WEEK,-0.008217964306004246
3,MONTH,FLIGHT_NUMBER,-0.019836355952358345
4,MONTH,SCHEDULED_DEPARTURE,0.0005426518441283446
5,MONTH,DEPARTURE_TIME,-0.0037030667562476705
6,MONTH,DEPARTURE_DELAY,-0.021445529301899566
7,MONTH,TAXI_OUT,-0.012731987181502723
8,MONTH,WHEELS_OFF,-0.0044293404513949565
9,MONTH,SCHEDULED_TIME,0.010710421177664223
10,MONTH,ELAPSED_TIME,0.001744323572911443
11,MONTH,AIR_TIME,0.0031585977277812974
12,MONTH,DISTANCE,0.011379081225000474
13,MONTH,WHEELS_ON,-0.008115747640959401
14,MONTH,TAXI_IN,0.0026680891729744132
15,MONTH,SCHEDULED_ARRIVAL,-0.009875264962635195
16,MONTH,ARRIVAL_TIME,-0.008114502542847183
17,MONTH,ARRIVAL_DELAY,-0.03635259293948088
18,MONTH,DIVERTED,-0.0006640691822456081
19,MONTH,CANCELLED,-0.055557473469846255
20,MONTH,AIR_SYSTEM_DELAY,0.0007399783477443405
21,MONTH,SECURITY_DELAY,0.009606512149904206
22,MONTH,AIRLINE_DELAY,0.012121043470869014
23,MONTH,LATE_AIRCRAFT_DELAY,0.003556581005374839
24,MONTH,WEATHER_DELAY,-0.00781423427998183
25,DAY,MONTH,0.008845650802207729
26,DAY,DAY,1.0
27,DAY,DAY_OF_WEEK,0.001012413754059061
28,DAY,FLIGHT_NUMBER,0.0014871306482337763
29,DAY,SCHEDULED_DEPARTURE,-0.0022668632871630226
30,DAY,DEPARTURE_TIME,-0.003293921269646754
31,DAY,DEPARTURE_DELAY,8.9666169599519e-06
32,DAY,TAXI_OUT,-0.0019641867952967674
33,DAY,WHEELS_OFF,-0.0038172196766675113
34,DAY,SCHEDULED_TIME,0.0030137481983756507
35,DAY,ELAPSED_TIME,0.0009834444341149278
36,DAY,AIR_TIME,0.00138986207136222
37,DAY,DISTANCE,0.0029741799161891068
38,DAY,WHEELS_ON,-0.004174194960583
39,DAY,TAXI_IN,-0.0016637146116868372
40,DAY,SCHEDULED_ARRIVAL,-0.003583286551319105
41,DAY,ARRIVAL_TIME,-0.004199857345028885
42,DAY,ARRIVAL_DELAY,-0.002939304791514401
43,DAY,DIVERTED,0.002464478043216464
44,DAY,CANCELLED,-0.0033325148484711128
45,DAY,AIR_SYSTEM_DELAY,-0.00595922523583437
46,DAY,SECURITY_DELAY,-0.00024127841336890008
47,DAY,AIRLINE_DELAY,0.006783320736460808
48,DAY,LATE_AIRCRAFT_DELAY,0.009495972860016893
49,DAY,WEATHER_DELAY,0.008671278135979128
50,DAY_OF_WEEK,MONTH,-0.008217964306004246
51,DAY_OF_WEEK,DAY,0.001012413754059061
52,DAY_OF_WEEK,DAY_OF_WEEK,1.0
53,DAY_OF_WEEK,FLIGHT_NUMBER,0.014229372456775812
54,DAY_OF_WEEK,SCHEDULED_DEPARTURE,0.007220020564634922
55,DAY_OF_WEEK,DEPARTURE_TIME,0.00482443406970403
56,DAY_OF_WEEK,DEPARTURE_DELAY,-0.011115850309238394
57,DAY_OF_WEEK,TAXI_OUT,-0.01999515104214989
58,DAY_OF_WEEK,WHEELS_OFF,0.0033290648155379406
59,DAY_OF_WEEK,SCHEDULED_TIME,0.015448237405652217
60,DAY_OF_WEEK,ELAPSED_TIME,0.012307206333864814
61,DAY_OF_WEEK,AIR_TIME,0.014930998600563085
62,DAY_OF_WEEK,DISTANCE,0.017133546880321177
63,DAY_OF_WEEK,WHEELS_ON,0.00531432992846207
64,DAY_OF_WEEK,TAXI_IN,0.0022774387224218963
65,DAY_OF_WEEK,SCHEDULED_ARRIVAL,0.006693170948433893
66,DAY_OF_WEEK,ARRIVAL_TIME,0.005146239343791932
67,DAY_OF_WEEK,ARRIVAL_DELAY,-0.016358050713544563
68,DAY_OF_WEEK,DIVERTED,-0.0012818772934996576
69,DAY_OF_WEEK,CANCELLED,-0.021474850617537827
70,DAY_OF_WEEK,AIR_SYSTEM_DELAY,-0.02257416742093595
71,DAY_OF_WEEK,SECURITY_DELAY,0.0010369947379747896
72,DAY_OF_WEEK,AIRLINE_DELAY,0.012333005790737683
73,DAY_OF_WEEK,LATE_AIRCRAFT_DELAY,-0.016867002213171306
74,DAY_OF_WEEK,WEATHER_DELAY,-0.00499143651874642
75,FLIGHT_NUMBER,MONTH,-0.019836355952358345
76,FLIGHT_NUMBER,DAY,0.0014871306482337763
77,FLIGHT_NUMBER,DAY_OF_WEEK,0.014229372456775812
78,FLIGHT_NUMBER,FLIGHT_NUMBER,1.0
79,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,-0.006675938269769977
80,FLIGHT_NUMBER,DEPARTURE_TIME,-0.0028444077032943956
81,FLIGHT_NUMBER,DEPARTURE_DELAY,-0.009950979323509834
82,FLIGHT_NUMBER,TAXI_OUT,0.04975972591069914
83,FLIGHT_NUMBER,WHEELS_OFF,0.003979406999007374
84,FLIGHT_NUMBER,SCHEDULED_TIME,-0.3171927219218439
85,FLIGHT_NUMBER,ELAPSED_TIME,-0.30662012444482
86,FLIGHT_NUMBER,AIR_TIME,-0.31966600314241606
87,FLIGHT_NUMBER,DISTANCE,-0.331220014538314
88,FLIGHT_NUMBER,WHEELS_ON,-0.007207436387941285
89,FLIGHT_NUMBER,TAXI_IN,-0.019139310247037338
90,FLIGHT_NUMBER,SCHEDULED_ARRIVAL,-0.014896245122365924
91,FLIGHT_NUMBER,ARRIVAL_TIME,-0.003907789078450071
92,FLIGHT_NUMBER,ARRIVAL_DELAY,0.017131736403369437
93,FLIGHT_NUMBER,DIVERTED,0.0046474250671557195
94,FLIGHT_NUMBER,CANCELLED,0.037496629351945206
95,FLIGHT_NUMBER,AIR_SYSTEM_DELAY,-0.008605951816695325
96,FLIGHT_NUMBER,SECURITY_DELAY,-0.00924516490696054
97,FLIGHT_NUMBER,AIRLINE_DELAY,0.0064404444613679855
98,FLIGHT_NUMBER,LATE_AIRCRAFT_DELAY,0.021271515503933292
99,FLIGHT_NUMBER,WEATHER_DELAY,-0.0020184772167865833
100,SCHEDULED_DEPARTURE,MONTH,0.0005426518441283446
101,SCHEDULED_DEPARTURE,DAY,-0.0022668632871630226
102,SCHEDULED_DEPARTURE,DAY_OF_WEEK,0.007220020564634922
103,SCHEDULED_DEPARTURE,FLIGHT_NUMBER,-0.006675938269769977
104,SCHEDULED_DEPARTURE,SCHEDULED_DEPARTURE,1.0
