kernelname,cvalue,recallval
rbf,0.005,0.3333333333333333
rbf,0.006,0.3333333333333333
rbf,0.007,0.3333333333333333
rbf,0.008,0.3333333333333333
rbf,0.009,0.3333333333333333
rbf,0.01,0.3333333333333333
rbf,0.011,0.3333333333333333
rbf,0.012,0.3333333333333333
rbf,0.013,0.3333333333333333
rbf,0.014,0.3333333333333333
rbf,0.015,0.3333333333333333
rbf,0.016,0.3333333333333333
rbf,0.017,0.3333333333333333
rbf,0.018,0.3333333333333333
rbf,0.019,0.3333333333333333
poly,0.005,0.88505291005291
poly,0.006,0.8933862433862434
poly,0.007,0.8933862433862434
poly,0.008,0.9017195767195767
poly,0.009,0.9017195767195767
poly,0.01,0.9112433862433862
poly,0.011,0.9186507936507937
poly,0.012,0.9186507936507937
poly,0.013,0.9186507936507937
poly,0.014,0.9112433862433862
poly,0.015,0.9112433862433862
poly,0.016,0.9112433862433862
poly,0.017,0.9281746031746032
poly,0.018,0.9376984126984127
poly,0.019,0.9376984126984127
linear,0.005,0.6666666666666666
linear,0.006,0.6761904761904761
linear,0.007,0.7321428571428571
linear,0.008,0.7866402116402117
linear,0.009,0.8247354497354497
linear,0.01,0.8771164021164022
linear,0.011,0.8866402116402117
linear,0.012,0.894973544973545
linear,0.013,0.9044973544973545
linear,0.014,0.9044973544973545
linear,0.015,0.9044973544973545
linear,0.016,0.9140211640211641
linear,0.017,0.9140211640211641
linear,0.018,0.9235449735449736
linear,0.019,0.9235449735449736
