,kernelname,cvalue,recallval
0,rbf,0.005,-0.05781551237119871
1,rbf,0.006,-0.05755625804785134
2,rbf,0.007,-0.05727152846088175
3,rbf,0.008,-0.056979051597237526
4,rbf,0.009,-0.05668618936758611
5,rbf,0.01,-0.05643135703390354
6,rbf,0.011,-0.056166050363572896
7,rbf,0.012,-0.05589783269491862
8,rbf,0.013,-0.0556412728252802
9,rbf,0.014,-0.05542662589583802
10,rbf,0.015,-0.05524951436601979
11,rbf,0.016,-0.05500272207863914
12,rbf,0.017,-0.054786753450749126
13,rbf,0.018,-0.05459480686871809
14,rbf,0.019,-0.054447895257302426
15,poly,0.005,-0.05065665627167872
16,poly,0.006,-0.05019543994029498
17,poly,0.007,-0.04977830296219214
18,poly,0.008,-0.0491633421574897
19,poly,0.009,-0.0488563113759866
20,poly,0.01,-0.04852853413832623
21,poly,0.011,-0.04786998748955784
22,poly,0.012,-0.04710969492081105
23,poly,0.013,-0.04673308935489144
24,poly,0.014,-0.046553558967057374
25,poly,0.015,-0.046303777865556436
26,poly,0.016,-0.046156734860441695
27,poly,0.017,-0.04587970509623007
28,poly,0.018,-0.045735783867084615
29,poly,0.019,-0.04537083808891022
30,linear,0.005,0.9999982398230827
31,linear,0.006,0.9999977158212584
32,linear,0.007,0.9999973136342628
33,linear,0.008,0.9999968941362389
34,linear,0.009,0.9999985473422068
35,linear,0.01,0.9999959386757438
36,linear,0.011,0.9999970212028432
37,linear,0.012,0.9999979116028717
38,linear,0.013,0.9999979438284555
39,linear,0.014,0.9999980399843581
40,linear,0.015,0.9999980399784875
41,linear,0.016,0.9999980401043368
42,linear,0.017,0.9999980404911366
43,linear,0.018,0.9999980410244754
44,linear,0.019,0.9999980412045761
